date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_date,crime_count
2016-01-18,2016,01,18,0.6,-9.9,1025.7,10.0,12.9,17.1,21.0,9.0,-4.0,0.0,999.9,0,2016-01-18,515
2016-01-19,2016,01,19,5.8,-4.7,1031.4,10.0,6.7,14.0,18.1,17.1,-4.0,0.0,999.9,0,2016-01-19,610
2016-01-13,2016,01,13,6.7,-0.8,1020.3,10.0,8.6,14.0,20.0,21.0,-2.0,0.01,2.0,0,2016-01-13,654
2016-01-11,2016,01,11,5.1,-1.6,1019.0,8.9,8.7,15.0,19.0,23.0,-0.9,0.0,1.2,0,2016-01-11,513
2016-01-20,2016,01,20,16.7,9.2,1027.1,8.2,3.5,8.0,999.9,23.0,0.0,0.05,1.2,0,2016-01-20,621
2016-01-12,2016,01,12,14.0,7.1,1014.3,6.5,14.6,22.9,29.9,24.1,-0.9,0.12,3.1,0,2016-01-12,548
2016-01-21,2016,01,21,19.0,12.8,1027.3,9.9,2.9,7.0,999.9,28.9,9.0,0.0,1.2,0,2016-01-21,634
2016-01-01,2016,01,01,23.4,16.5,1023.1,9.8,12.4,18.1,22.9,30.0,19.0,0.02,1.2,0,2016-01-01,1201
2016-01-17,2016,01,17,7.5,-3.0,1017.6,10.0,14.2,19.0,24.1,30.0,1.0,0.0,999.9,0,2016-01-17,537
2016-01-22,2016,01,22,23.7,18.3,1025.9,7.1,7.5,13.0,999.9,30.2,18.0,0.0,999.9,0,2016-01-22,701
2016-01-04,2016,01,04,26.9,18.5,1028.9,9.6,9.5,13.0,999.9,30.9,21.9,0.0,1.2,0,2016-01-04,626
2016-01-02,2016,01,02,27.0,19.4,1019.0,10.0,9.6,15.0,22.0,32.0,19.0,0.06,1.2,0,2016-01-02,578
2016-01-03,2016,01,03,26.8,19.3,1018.4,10.0,11.4,17.1,28.0,32.0,21.9,0.0,1.2,0,2016-01-03,618
2016-01-23,2016,01,23,27.8,21.0,1023.6,9.4,6.4,11.1,999.9,33.1,19.0,0.02,999.9,0,2016-01-23,723
2016-01-05,2016,01,05,25.5,17.0,1033.7,10.0,8.2,15.0,999.9,33.1,17.1,0.0,1.2,0,2016-01-05,627
2016-01-24,2016,01,24,27.1,19.0,1016.7,8.9,7.6,14.0,17.1,34.0,24.1,0.0,999.9,0,2016-01-24,677
2016-01-06,2016,01,06,28.3,20.9,1026.8,10.0,7.5,11.1,999.9,36.0,17.1,0.0,1.2,0,2016-01-06,629
2016-01-27,2016,01,27,27.6,17.5,1022.4,10.0,10.0,17.1,24.1,37.0,23.0,0.02,999.9,0,2016-01-27,669
