crime_date,crime_count
2016-01-01,1201
2016-01-02,578
2016-01-03,618
2016-01-04,626
2016-01-05,627
2016-01-06,629
2016-01-07,709
2016-01-08,744
2016-01-09,650
2016-01-10,598
2016-01-11,513
2016-01-12,548
2016-01-13,654
2016-01-14,734
2016-01-15,734
2016-01-16,653
2016-01-17,537
2016-01-18,515
2016-01-19,610
2016-01-20,621
2016-01-21,634
2016-01-22,701
2016-01-23,723
2016-01-24,677
2016-01-25,744
2016-01-26,640
2016-01-27,669
2016-01-28,753
2016-01-29,746
2016-01-30,743
2016-01-31,666
2016-02-01,857
2016-02-02,615
2016-02-03,682
2016-02-04,670
2016-02-05,660
2016-02-06,697
2016-02-07,617
2016-02-08,571
2016-02-09,547
2016-02-10,566
2016-02-11,583
2016-02-12,648
2016-02-13,597
2016-02-14,515
2016-02-15,554
2016-02-16,625
2016-02-17,641
2016-02-18,682
2016-02-19,775
2016-02-20,705
2016-02-21,708
2016-02-22,638
2016-02-23,630
2016-02-24,578
2016-02-25,701
2016-02-26,741
2016-02-27,693
2016-02-28,625
2016-02-29,646
2016-03-01,822
2016-03-02,610
2016-03-03,617
2016-03-04,704
2016-03-05,701
2016-03-06,714
2016-03-07,795
2016-03-08,724
2016-03-09,680
2016-03-10,716
2016-03-11,733
2016-03-12,746
2016-03-13,628
2016-03-14,686
2016-03-15,713
2016-03-16,745
2016-03-17,740
2016-03-18,791
2016-03-19,701
2016-03-20,686
2016-03-21,699
2016-03-22,722
2016-03-23,686
2016-03-24,678
2016-03-25,717
2016-03-26,735
2016-03-27,631
2016-03-28,742
2016-03-29,740
2016-03-30,717
2016-03-31,754
2016-04-01,834
2016-04-02,651
2016-04-03,707
2016-04-04,661
2016-04-05,677
2016-04-06,660
2016-04-07,743
2016-04-08,626
2016-04-09,689
2016-04-10,705
2016-04-11,676
2016-04-12,701
2016-04-13,716
2016-04-14,691
2016-04-15,812
2016-04-16,734
2016-04-17,709
2016-04-18,738
2016-04-19,703
2016-04-20,690
2016-04-21,715
2016-04-22,732
2016-04-23,694
2016-04-24,756
2016-04-25,758
2016-04-26,693
2016-04-27,662
2016-04-28,733
2016-04-29,720
2016-04-30,605
2016-05-01,825
2016-05-02,757
2016-05-03,735
2016-05-04,683
2016-05-05,701
2016-05-06,794
2016-05-07,742
2016-05-08,730
2016-05-09,732
2016-05-10,713
2016-05-11,758
2016-05-12,690
2016-05-13,808
2016-05-14,723
2016-05-15,741
2016-05-16,782
2016-05-17,692
2016-05-18,801
2016-05-19,766
2016-05-20,805
2016-05-21,792
2016-05-22,750
2016-05-23,782
2016-05-24,803
2016-05-25,721
2016-05-26,767
2016-05-27,801
2016-05-28,791
2016-05-29,798
2016-05-30,820
2016-05-31,757
2016-06-01,945
2016-06-02,800
2016-06-03,822
2016-06-04,827
2016-06-05,778
2016-06-06,793
2016-06-07,754
2016-06-08,744
2016-06-09,727
2016-06-10,765
2016-06-11,815
2016-06-12,853
2016-06-13,795
2016-06-14,837
2016-06-15,791
2016-06-16,821
2016-06-17,830
2016-06-18,764
2016-06-19,811
2016-06-20,858
2016-06-21,825
2016-06-22,751
2016-06-23,802
2016-06-24,808
2016-06-25,813
2016-06-26,775
2016-06-27,771
2016-06-28,767
2016-06-29,805
2016-06-30,847
2016-07-01,969
2016-07-02,758
2016-07-03,782
2016-07-04,849
2016-07-05,895
2016-07-06,742
2016-07-07,791
2016-07-08,792
2016-07-09,729
2016-07-10,760
2016-07-11,701
2016-07-12,780
2016-07-13,726
2016-07-14,769
2016-07-15,846
2016-07-16,780
2016-07-17,789
2016-07-18,799
2016-07-19,791
2016-07-20,824
2016-07-21,785
2016-07-22,792
2016-07-23,814
